id	section	title	file	shows	statistics	made_by	notes	poster	paper
A1	Cohort, transcript mapping and IDR inventory	Isoform attrition funnel	figures/genomic/fig01_attrition_funnel.pdf	Isoforms retained at each genomic-mapping step: cohort 21,801; >=1 Ensembl transcript 16,249; exact sequence match 16,007; coordinates verified 15,889; MAIN (one resolved transcript) 15,888.	Counts only.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Bars are not nested: MAIN and coordinate-verified sets overlap in 15,822 isoforms.		
A2	Cohort, transcript mapping and IDR inventory	Isoform-to-transcript resolution status	figures/genomic/fig_mapping_resolution_qc.pdf	UniProt isoforms by transcript resolution class (resolved unique, UTR-collapsed equivalents, ambiguous, gene-only, ...), TF vs non-TF.	Counts only.	pipeline/tfidr_pipeline/mapping/resolve_isoform_transcripts.py	QC figure.		
A3	Cohort, transcript mapping and IDR inventory	IDR inventory of the MAIN set	figures/genomic/fig02_idr_inventory.pdf	MAIN isoforms (15,888): IDRs per isoform, IDR segment length (median 70 aa), %IDR per protein (mean 34%).	Descriptive.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced.		
A4	Cohort, transcript mapping and IDR inventory	IDR segments per isoform	figures/proteome_extended/fig_age8_n_idr_segments_histogram.pdf	Distribution of IDR segment counts per isoform, TF vs non-TF, for all / canonical / alternative isoforms (median 2 in TFs, 1 in non-TFs; 3% vs 15% of isoforms have no IDR).	Descriptive.	notebooks/05_proteome_analysis_extended			
A5	Cohort, transcript mapping and IDR inventory	IDR segment count: TF vs non-TF, canonical vs alternative	figures/proteome/fig7A_n_idr_segments_tf_canonical.pdf	Violins of IDR segments per isoform for TF/non-TF x canonical/alternative, with % of isoforms without an IDR (1%, 3%, 12%, 16%).	Canonical vs alternative within group: MWU (TF p=2.3e-9; non-TF p=3.8e-31).	notebooks/02_proteome_analysis	Layout: the legend overlaps the non-TF p-value box.		
B1	TFs vs non-TFs: disorder content and IDR properties	%IDR of canonical vs alternative isoforms, TF vs non-TF	figures/proteome/fig2A_split_pct_idr_canon_vs_alt.pdf	Split violins of %IDR per isoform: non-TF canonical 4,727 / alternative 15,186; TF canonical 416 / alternative 1,472.	4 two-sided MWU tests shown as stars (canonical vs alternative within group: ns, ns; TF vs non-TF: ****, ****); no multiple-testing correction.	scripts/figures/fig2_canonical_vs_alternative_violins.py	Recovered script. Replaces an earlier version that compared canonical with all isoforms (overlapping groups; removed as a duplicate).	yes	
B2	TFs vs non-TFs: disorder content and IDR properties	As B1, IDR-containing isoforms only	figures/proteome/fig2B_split_pct_idr_canon_vs_alt.pdf	As B1 restricted to isoforms with >=1 IDR (non-TF 4,142 / 12,698; TF 413 / 1,426).	4 MWU tests as stars (non-TF canonical vs alternative ****, TF ns; TF vs non-TF ****, ****); uncorrected.	scripts/figures/fig2_canonical_vs_alternative_violins.py	Recovered script.		
B5	TFs vs non-TFs: disorder content and IDR properties	TFs are more disordered (MAIN set)	figures/genomic/fig05_tf_vs_nontf.pdf	MAIN isoforms: mean %IDR 31.6% vs 56.3%, mean IDRs per isoform 1.64 vs 1.99, % with >=1 IDR 85% vs 98% (non-TF vs TF).	Means only, no test.	scripts/figures/genomic_preliminary_fig01_to_fig12.py	RECONSTRUCTION: the original code was lost; every value printed on the original figure is reproduced. Same comparison as B1 on the mapped subset.		
B6	TFs vs non-TFs: disorder content and IDR properties	IDR segment length, TF vs non-TF	figures/proteome_extended/figF_idr_segment_length.pdf	IDR-containing isoforms: longest IDR per isoform (median 195 vs 107 aa) and mean IDR length (142 vs 82 aa), TF vs non-TF.	MWU (p=1.5e-116 and 1.3e-124).	notebooks/05_proteome_analysis_extended			
B7	TFs vs non-TFs: disorder content and IDR properties	IDR sequence properties, TF vs non-TF	figures/proteome_extended/figD_biophysical_properties.pdf	Per IDR-containing isoform: fraction charged residues, kappa, f(aromatic), f(negative), f(positive), NCPR (ALBATROSS/MetaPredict IDRome columns).	MWU per property (6 tests, uncorrected): FCR p=6.0e-10, kappa 0.33, aromatic 0.040, f(-) 0.86, f(+) 9.1e-19, NCPR 1.6e-9.	notebooks/05_proteome_analysis_extended			
